status_id,log_date,room_number,floor,room_type,checkout_time,cleaning_start_time,cleaning_end_time,room_ready_time,checkin_requested_time,ready_before_checkin,delay_minutes,sla_met
RS032,2024-01-05,101,1,Standard Double,10:15,10:19,10:48,10:50,13:00,Yes,0,Yes
RS033,2024-01-05,102,1,Standard Double,10:30,10:34,11:02,11:04,14:00,Yes,0,Yes
RS034,2024-01-05,501,5,Deluxe King,09:20,09:25,10:13,10:16,11:00,No,16,No
RS035,2024-01-05,502,5,Suite,09:35,09:40,10:59,11:02,11:00,No,62,No
RS036,2024-01-05,503,5,Deluxe King,09:50,09:55,10:47,10:50,12:00,Yes,0,Yes
RS037,2024-01-05,504,5,Suite,10:00,10:05,11:27,11:30,12:00,Yes,0,Yes
RS038,2024-01-05,505,5,Standard Double,10:30,10:35,11:10,11:12,13:00,Yes,0,Yes
RS039,2024-01-08,301,3,Standard Double,09:40,09:45,10:16,10:18,13:00,Yes,0,Yes
RS040,2024-01-08,302,3,Standard Double,10:00,10:05,10:38,10:40,13:30,Yes,0,Yes
RS041,2024-01-08,303,3,Deluxe King,10:10,10:15,11:00,11:03,12:00,Yes,0,Yes
RS042,2024-01-08,701,7,Suite,09:20,09:25,10:35,10:38,11:00,No,38,No
RS043,2024-01-08,702,7,Suite,09:35,09:40,10:54,10:57,11:00,No,57,No
RS044,2024-01-08,703,7,Deluxe King,09:50,09:55,10:45,10:48,12:00,Yes,0,Yes
RS045,2024-01-08,704,7,Deluxe King,10:05,10:10,11:02,11:05,12:30,Yes,0,Yes
RS046,2024-01-08,705,7,Suite,10:10,10:15,11:32,11:35,13:00,Yes,0,Yes
RS047,2024-01-08,501,5,Deluxe King,09:25,09:30,10:18,10:21,11:00,No,21,No
RS048,2024-01-08,502,5,Suite,09:40,09:45,11:04,11:07,11:00,No,67,No
RS049,2024-01-08,503,5,Deluxe King,09:55,10:00,10:52,10:55,12:00,Yes,0,Yes
RS050,2024-01-08,504,5,Suite,10:05,10:10,11:32,11:35,13:00,Yes,0,Yes
RS051,2024-01-12,301,3,Standard Double,09:35,09:40,10:11,10:13,13:00,Yes,0,Yes
RS052,2024-01-12,302,3,Standard Double,09:50,09:55,10:28,10:30,13:30,Yes,0,Yes
RS053,2024-01-12,303,3,Deluxe King,10:05,10:10,10:55,10:58,12:00,Yes,0,Yes
RS054,2024-01-12,304,3,Standard Double,10:15,10:20,10:52,10:54,13:00,Yes,0,Yes
RS055,2024-01-12,305,3,Standard Double,10:25,10:30,11:04,11:06,13:00,Yes,0,Yes
RS056,2024-01-12,701,7,Suite,09:10,09:15,10:25,10:28,11:00,No,28,No
RS057,2024-01-12,702,7,Suite,09:25,09:30,10:44,10:47,11:00,No,47,No
RS058,2024-01-12,703,7,Deluxe King,09:40,09:45,10:35,10:38,12:00,Yes,0,Yes
RS059,2024-01-12,704,7,Deluxe King,09:55,10:00,10:52,10:55,12:00,Yes,0,Yes
RS060,2024-01-12,705,7,Suite,10:00,10:05,11:22,11:25,13:00,Yes,0,Yes
RS061,2024-01-12,501,5,Deluxe King,09:15,09:20,10:08,10:11,11:00,No,11,No
RS062,2024-01-12,502,5,Suite,09:30,09:35,10:54,10:57,11:00,No,57,No
RS063,2024-01-12,503,5,Deluxe King,09:45,09:50,10:42,10:45,12:00,Yes,0,Yes
RS064,2024-01-12,504,5,Suite,09:55,10:00,11:22,11:25,13:00,Yes,0,Yes
RS065,2024-01-12,505,5,Standard Double,10:25,10:30,11:05,11:07,13:00,Yes,0,Yes
