checkout_id,checkout_date,room_number,floor,room_type,guest_checkout_time,room_cleared_time,minutes_to_clear,checkout_hour_bucket,cleared_within_60min
C048,2024-01-08,704,7,Deluxe King,10:05,11:02,57,10:00-11:00,Yes
C049,2024-01-08,705,7,Suite,10:10,11:32,82,10:00-11:00,No
C050,2024-01-08,501,5,Deluxe King,09:25,10:18,53,09:00-10:00,Yes
C051,2024-01-08,502,5,Suite,09:40,11:04,84,09:00-10:00,No
C052,2024-01-08,503,5,Deluxe King,09:55,10:52,57,09:00-10:00,Yes
C053,2024-01-08,504,5,Suite,10:05,11:32,87,10:00-11:00,No
C054,2024-01-12,301,3,Standard Double,09:35,10:11,36,09:00-10:00,Yes
C055,2024-01-12,302,3,Standard Double,09:50,10:28,38,09:00-10:00,Yes
C056,2024-01-12,303,3,Deluxe King,10:05,10:55,50,10:00-11:00,Yes
C057,2024-01-12,304,3,Standard Double,10:15,10:52,37,10:00-11:00,Yes
C058,2024-01-12,305,3,Standard Double,10:25,11:04,39,10:00-11:00,Yes
C059,2024-01-12,701,7,Suite,09:10,10:25,75,09:00-10:00,No
C060,2024-01-12,702,7,Suite,09:25,10:44,79,09:00-10:00,No
C061,2024-01-12,703,7,Deluxe King,09:40,10:35,55,09:00-10:00,Yes
C062,2024-01-12,704,7,Deluxe King,09:55,10:52,57,09:00-10:00,Yes
C063,2024-01-12,705,7,Suite,10:00,11:22,82,10:00-11:00,No
C064,2024-01-12,501,5,Deluxe King,09:15,10:08,53,09:00-10:00,Yes
C065,2024-01-12,502,5,Suite,09:30,10:54,84,09:00-10:00,No
C066,2024-01-12,503,5,Deluxe King,09:45,10:42,57,09:00-10:00,Yes
C067,2024-01-12,504,5,Suite,09:55,11:22,87,09:00-10:00,No
C068,2024-01-12,505,5,Standard Double,10:25,11:05,40,10:00-11:00,Yes
